"Key","SourceString","Comment"
"offertocustomer_confirmation_button","Sell to {0}","Caption of the button to sell a sword to a customer. The customer's full name will be inserted for {0}."
"swordpart_status_category","Category","Title of swordpart tooltip."
"swordpart_status_craftable","Craftable","Text inside swordpart tooltip, which shows that the part is a craftable."
"swordpart_status_owned","Owned","Text inside swordpart tooltip, which shows that the part is owned."
"swordpart_status_sale","For Sale","Text inside swordpart tooltip, which shows that the part is for sale."
"swordpart_usedinsword","Used in {0}","Text inside swordpart tooltip, which shows in which sword the sword part is currently used, if any. Sword name is inserted for {0}."
"swordmaking_ability_category_basic","Basic","Swordmaking ability category: basic."
"swordmaking_ability_category_crosssection","Cross-Section","Swordmaking ability category: cross-section."
"swordmaking_ability_category_misc","Miscellaneous","Swordmaking ability category: miscellaneous."
"swordmaking_ability_category_taper","Taper","Swordmaking ability category: taper."
"swordmaking_ability_drawout_title","Draw Out","Title for Draw Out ability."
"swordmaking_ability_drawout_description","Lengthen the blade.","Changes the overall length of the blade."
"swordmaking_ability_flatten_title","Flatten","Title for Flatten ability."
"swordmaking_ability_flatten_description","Make the blade flatter.","Changes the thickness of the blade."
"swordmaking_ability_broaden_title","Broaden","Title for the Broaden ability."
"swordmaking_ability_broaden_description","Make the blade wider.","Changes the overall width of the blade."
"swordmaking_ability_narrow_title","Narrow","Title for Narrow ability."
"swordmaking_ability_narrow_description","Make the blade narrower.","Changes the overall width of the blade."
"swordmaking_ability_narrowgrind_title","Narrow (grind)","Title of the Narrow (grind) ability."
"swordmaking_ability_narrowgrind_description","Make the blade narrower by grinding. Sharp edges will turn blunt.","Changes the width of the blade by grinding material away (makes a shrap blade dull)."
"swordmaking_ability_profiletaper_title","Taper Width","Title for the Profile Taper ability."
"swordmaking_ability_profiletaper_description","Taper the blade, making it narrower towards the point. This is known as profile taper.","Changes the width towards the end of the blade."
"swordmaking_ability_distaltaper_title","Taper Thickness","Title for the Distal Taper ability."
"swordmaking_ability_distaltaper_description","Taper the blade, making it less thick towards the point. This is known as distal taper.","Changes the thickness towards the end of the blade."
"swordmaking_ability_point_title","Point","Title for the Point ability."
"swordmaking_ability_point_description","Add a point. Adjust shape by dragging up/down the intensity line.","Changes the end of the blade to make a point and increase piercing."
"swordmaking_ability_crosssection_title","Cross-Section","Title for the Cross-Section ability."
"swordmaking_ability_crosssection_description","Adjust your blade’s cross-section and make it sharp.","Changes the Cross-Section of the blade."
"swordmaking_ability_crosssection_spinewidth","Spine Width","Propery of the sword's cross-section, the width of the flat (the equal sign here: <=>)"
"swordmaking_ability_crosssection_edgethickness","Edge Thickness","Propery of the sword's cross-section, the thickness of the edge. Usually close to 0, so the sword is sharp."
"swordmaking_ability_crosssection_convexity","Convexity","Propery of the sword's cross-section, the convexity or concavity. A convex cross-section looks like a lentil and is called lenticular, while a concave cross-section is called a ""hollow grind""."
"swordmaking_ability_category_flamboyance","Flamboyance","Swordmaking ability category: flamboyance."
"swordmaking_ability_flamboyance_wavy_l_title","Flamboyance I (Large)","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_wavy_m_title","Flamboyance I (Medium)","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_wavy_s_title","Flamboyance I (Small)","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_wavy_description","Add wavy flamboyance.","Changes the edge of the blade to wavy."
"swordmaking_ability_flamboyance_botched_l_title","Flamboyance II (Large)","Changes the edge of the blade to scalloped."
"swordmaking_ability_flamboyance_botched_m_title","Flamboyance II (Medium)","Changes the edge of the blade to scalloped."
"swordmaking_ability_flamboyance_botched_s_title","Flamboyance II (Small)","Changes the edge of the blade to scalloped."
"swordmaking_ability_flamboyance_botched_description","Add scalloped flamboyance.","Changes the edge of the blade to scalloped."
"swordmaking_ability_curvature_title","Curvature","Title for the Curvature ability."
"swordmaking_ability_curvature_description","Curve the blade. You can create a recurve using this ability multiple times.","Adding a curve to the blade."
"swordmaking_ability_category_fuller","Fuller","Swordmaking ability category: fuller."
"swordmaking_ability_fullerrounded_title","Fuller (rounded)","Title for the Fuller (rounded) ability."
"swordmaking_ability_fullerrounded_description","Add a main fuller with rounded ends.","Adding a fuller to the blade. A central groove in the blade, with a rounded end."
"swordmaking_ability_fullersmooth_title","Fuller (smooth)","Title for the Fuller (smooth) ability."
"swordmaking_ability_fullersmooth_description","Add a main fuller with smooth ends.","Adding a fuller to the blade. A central groove in the blade, softly fading out."
"swordmaking_ability_sidefullerrounded_title","Side Fullers (rounded)","Title for the Side Fuller (rounded) ability."
"swordmaking_ability_sidefullerrounded_description","Add side fullers with rounded ends.","Adding side fullers to the blade, with rounded ends."
"swordmaking_ability_sidefullersmooth_title","Side Fullers (smooth)","Title for the Side Fuller (smooth) ability."
"swordmaking_ability_sidefullersmooth_description","Add side fullers with smooth ends.","Adding side fullers to the blade, softly fading out."
"swordmaking_ability_fuller_width","Width","The width of the fuller, a central ridge in the sword."
"swordmaking_ability_fuller_depth","Depth","The depth of the fuller, a central ridge in the sword."
"swordmaking_ability_fuller_offset","Offset","The offset of the fuller, a usually central ridge in the sword that can also be offset to one side."
"swordmaking_ability_category_polish","Polish","Swordmaking ability category: polish."
"swordmaking_ability_polish_title","Polish Blade","Title for the Polish ability."
"swordmaking_ability_polish_description","Add sheen to your blade.","Polishes the blade, making it shiny."
"swordmaking_ability_polish_flat_title","Polish Flat","Title for the Polish Flat ability. The flat in this case is the flat section in the middle of a blade with a hexagonal cross-section."
"swordmaking_ability_polish_flat_description","Add sheen to your blade’s flat back.","Polishes the blade's flat section, i.e. the back of the blade, making it shiny."
"swordmaking_ability_polish_edge_title","Polish Edge","Title for the Polish Blade Edge ability."
"swordmaking_ability_polish_edge_description","Add sheen to your blade’s edge.","Polishes the blade's very edge, making it shiny."
"swordmaking_ability_polish_slant_title","Polish Bevel","Title for the primary bevel area polish ability."
"swordmaking_ability_polish_slant_description","Add sheen to your blade’s bevel.","Polishes the blade slant/bevel, making it shiny."
"swordmaking_ability_polish_fuller_title","Polish Fuller","Title for the fuller area polish level."
"swordmaking_ability_polish_fuller_description","Add sheen to your blade’s fuller.","Polishes the blade fuller, making it shiny."
"swordmaking_ability_polish_fuller_side_title","Polish Side Fullers","Title for the side fuller area polish level."
"swordmaking_ability_polish_fuller_side_description","Add sheen to your blade’s fuller.","Polishes the blade side fuller, making it shiny."
"swordpart_category_inventory","Owned Parts","Parts the player owns as single instances (rather than crafting recipes)."
"swordpart_category_guardsinglepiece","Guard","The guard is a swordpart that describes the metal part that protects the hand and is located between the handle and the blade."
"swordpart_category_guardquillonblock","Quillon Block","Part of the guard of edged weapons consisting of a small block of metal, acting as a support for the shoulder of the blade and the base of the guard."
"swordpart_category_guardquillon","Quillon","The quillon is an arm of the guard of a sword."
"swordpart_category_guardconnector","Connector","A connecting piece to connect e.g. two quillons."
"swordpart_category_guardring","Ring","A sword part in ring form, often attached to the quillon block."
"swordpart_category_guardsweeps","Sweeps and Loops","Sword parts in the form of sweeps and loops, usally part of the guard in e.g. a rapier."
"swordpart_category_guardendcap","End Cap","End caps to put on the end of quillons / arms."
"swordpart_category_grip","Grip","The Grip acts as the main part of the handle. You hold the sword here."
"swordpart_category_gripwrap","Wrap","Wrappings around the grip parts of the sword to further decorate."
"swordpart_category_gripriser","Riser","An elevated piece, usually used on grips. Traditionally, this was achieved by putting a thick cord around the wooden grip piece before covering it with leather, resulting in a bump."
"swordpart_category_pommel","Pommel","A pommel is a shaped protrusion at the end of a sword hilt, serves as a counter weight."
"swordpart_category_pommelcomplex","Complex Pommel","A pommel is a shaped protrusion at the end of a sword hilt, serves as a counter weight. Complex pommels can be modified further by attaching more parts onto it."
"swordpart_category_pommelpeen","Peen","The part that is peened is the end of the tang (the part of the blade that is inside the guard, grip, and pommel) where it goes through the pommel. This is what seals the hilt shut."
"swordpart_category_misc","Misc.","Various items that do not fit into any other category, abbreviation for Miscellaneous. Feel free to use an abbreviation or a full word, we're not particularly space-limited here."
"swordpart_category_miscattachment","Attachment","Various decorative parts that can be attached to the sword."
"swordpart_category_miscferrule","Ferrule","A ring found on some sword hilts that connects two grip parts, usually (but not always) decorative and made of metal."
"swordpart_category_miscemblem","Emblem","A decorative object that can be attached to the sword, e.g. a coin, medal etc."
"swordpart_category_miscgemstone","Gemstone","A decorative object that can be attached to the sword."
"swordpart_category_engraving","Engraving","Cutting decoration into surfaces, i.e. wood, stone or metal."
"swordpart_category_material","Material","Describes various materials from which sword parts can be made."
"swordpart_category_material_leather_rough","Rough Leathers","Describes various materials from which sword parts can be made."
"swordpart_category_material_leather_smooth","Smooth Leathers","Describes various materials from which sword parts can be made."
"swordpart_category_material_leather_structured","Structured Leathers","Describes various materials from which sword parts can be made."
"swordpart_category_material_metal_steel","Steel","Describes various materials from which sword parts can be made."
"swordpart_category_material_metal_fine","Precious Metals","Describes various materials from which sword parts can be made."
"swordpart_category_material_wood","Timbers","Describes various materials from which sword parts can be made."
"swordpart_category_material_artisan","Artisan Materials","Describes various materials from which sword parts can be made."
"swordpart_category_material_magic","Enchanted Materials","Describes various materials from which sword parts can be made."
"general_joinedsentences","{0} {1}","In English, German etc., if we join two independent sentences {0} and {1}, they would be joined with a space ("" ""). In Chinese for example, there would be no extra space between sentences, so this string would be {0}{1} without a space."
"dialogue_quotes","“{0}”","Quotes that are being put around all direct speech in the game (e.g. “Good morning!”). {0} will be replaced with whatever text."
"dialogue_continue","Continue ▽","Caption of a button to continue to the next line of dialogue."
"dialogue_end","End ■","Caption of a button to end the dialogue when there are no more lines."
"numberwithunit_hoursandminutes","{0}:{1} hrs","Displaying a timespan: hours inserted for {0}, minutes inserted for {1}."
"numberwithunit_gram","{0} g","Displaying a number (inserted for {0}): weight in grams."
"numberwithunit_kilogram","{0} kg","Displaying a number (inserted for {0}): weight in kilograms."
"numberwithunit_ounce","{0} oz","Displaying a number (inserted for {0}): weight in ounces."
"numberwithunit_pound","{0} lb","Displaying a number (inserted for {0}): weight in pounds."
"numberwithunit_millimeter","{0} mm","Displaying a number (inserted for {0}): length in millimeters."
"numberwithunit_centimeter","{0} cm","Displaying a number (inserted for {0}): length in centimeters."
"numberwithunit_metre","{0} m","Displaying a number (inserted for {0}): length in meters."
"numberwithunit_inch","{0} in","Displaying a number (inserted for {0}): length in inches."
"numberwithunit_feet","{0} ft","Displaying a number (inserted for {0}): length in feet."
"numberwithunit_squarecentimeter","{0} cm²","Displaying a number (inserted for {0}): area in square centimeters."
"numberwithunit_squareinch","{0} in²","Displaying a number (inserted for {0}): area in square inches."
"numberwithunit_cubiccentimeter","{0} cm³","Displaying a number (inserted for {0}): volume in cubic centimeters."
"numberwithunit_cubicinch","{0} in³","Displaying a number (inserted for {0}): volume in cubic inches."
"numberwithunit_metrepersecond","{0} m/s","Displaying a number (inserted for {0}): speed in meters per second"
"numberwithunit_degrees","{0}°","Displaying a number (inserted for {0}): angle in degrees"
"numberwithunit_milliseconds","{0} ms","Displaying a number (inserted for {0}): time in milliseconds"
"numberwithunit_fps","{0} FPS","Average rendered frames per second the game produced in recent history."
"settingsmenu_generic_on","On","Generic option for a setting that is turned on/enabled"
"settingsmenu_generic_off","Off","Generic option for a setting that is turned off/disabled"
"settingsmenu_title_frametime","Frame","Title for the time the last game frame took to compute and render."
"settingsmenu_title_cpu","CPU","Title for the CPU timer. Showing how long the last game frame took to compute on the main processor."
"settingsmenu_title_gpu","GPU","Title for the GPU timer. Showing how long the last game frame took to render on the graphics card."
"settingsmenu_title_screenmode","Screen Mode","Title of the screen mode option. Allows the player to choose between fullscreen and windowed."
"settingsmenu_button_low","Low","Text of button to set game quality option to low."
"settingsmenu_button_medium","Medium","Text of button to set game quality option to medium."
"settingsmenu_button_high","High","Text of button to set game quality option to high."
"settingsmenu_button_veryhigh","Very High","Text of button to set game quality option to very high."
"settingsmenu_button_fullscreen","Fullscreen","Text of button to set the game to fullscreen."
"settingsmenu_button_windowedfullscreen","Windowed Fullscreen","Text of button to set the game to windowed fullscreen."
"settingsmenu_button_windowed","Windowed","Text of button to set the game to windowed."
"settingsmenu_title_analytics","Telemetry","Title in pausemenu of the consent to analytics/telemetry usage data."
"settingsmenu_title_interfacescale","Interface Scale","Title in pausemenu of the scale options. Allows the player to scale the entire UI."
"settingsmenu_button_interfacescale_small","Small","Text of button to set the interface scale to small."
"settingsmenu_button_interfacescale_regular","Regular","Text of button to set the interface scale to regular/default."
"settingsmenu_button_interfacescale_large","Large","Text of button to set the interface scale to large."
"settingsmenu_title_gameplay","Gameplay","Title in pausemenu of gameplay-specific options."
"settingsmenu_title_audio","Audio","Title in pausemenu of the audio options."
"settingsmenu_title_video","Video","Title in pausemenu of the video options (e.g. screen resolution)."
"settingsmenu_title_renderquality","Render Quality","Title in pausemenu of the scale render quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_shadowquality","Shadow Quality","Title in pausemenu of the shadow quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_renderingscale","Render Scale","Title in pausemenu of the render scale options. Allows the player to set the resolution the game is rendering in."
"settingsmenu_title_giquality","Global Illumination Quality","Title in pausemenu of the global illumination quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_effectsquality","Effects Quality","Title in pausemenu of the effects quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_reflectionsquality","Reflections Quality","Title in pausemenu of the reflections quality options. Allows the player to run the game at a lower quality for better performance."
"settingsmenu_title_volume","Master Volume","Title in options menu for the overall game volume."
"settingsmenu_title_volume_music","Music Volume","Title in options menu of the music volume options."
"settingsmenu_title_volume_sfx","Sounds Effects Volume","Title in options menu for the volume of sound effects."
"settingsmenu_title_blademode_abilitieslistautocollapse","Automatically hide Blade Abilities list","Title in options menu for a checkbox. If checked, the game will automatically close the list of swordmaking abilities after one has been chosen. If not, the panel will stay open."
"settingsmenu_title_feedbacksurvey_autoopen","Open Feedback Survey on Quit","Title in options menu for a checkbox. If checked, the game will open a feedback survey in browser when it shuts down."
"campaignmode_enddayconfirmation_title","Ending the day","Title in end day menu."
"campaignmode_enddayconfirmation_noap_text","Are you done for the day?","Text in end day menu, asking the player if the day is done. Only shown when no action points are left for this day."
"campaignmode_enddayconfirmation_text","Are you done for the day? Your remaining {0}<ap/> will be lost.","Text in end day menu, asking the player if the day is done and showing how many leftover action points will be lost."
"campaignmode_enddayconfirmation_button_endday","End day","Text of button to end the day and cofirm the lost action points."
"campaignmode_endofday_title","Day {0} has ended.","Hint showing that a particular day (number inserted for {0}) is now over."
"campaignmode_endofday_prevbalance","Previous balance","Value in the daily budget summary, showing the amount of money the player had at the start of the day."
"campaignmode_endofday_dayprofit","Day’s profit","Value of the daily budget summary, showing the amount of money the player made during the day."
"campaignmode_endofday_newbalance","New balance","Value in the daily budget summary, showing the amount of money the player has now at the end of the day."
"campaignmode_endofday_button_nextday","Start the next day","Text of button to use the night after closing the forge, to start the next day."
"campaignmode_endofday_button_explore","Explore Eren Keep","Text of button to use the night after closing the forge, to explore the city."
"campaignmode_title_inventory","Inventory","Title of the inventory showing the player's items."
"campaignmode_vendorview_yourinventory","Your Inventory","Title of the vendor menu showing the content of the player's item inventory."
"campaignmode_vendorview_vendorinventory","Vendor Inventory","Title of the vendor menu showing the content of vendor's item inventory."
"campaignmode_vendorview_ownedcurrency","You own: {0}<Currency/>","The amount of currency the player owns is inserted for {0}."
"campaignmode_vendorview_button_close","Close","Text of button to close the vendor menu."
"vendor_ironmonger","Ironmonger","Name of the ironmonger vendor, selling metal guards and pommels."
"vendor_woodcarver","Woodcarver","Name of the woodcarver vendor, selling grip parts and carved wooden pieces."
"vendor_wildworker","Wildworker","Name of the wildworker vendor, selling leather parts and animal parts."
"swordpartcatalogue_empty","You currently have no hilt parts.","Hint displayed when the player's inventory ist empty."
"swordpartoverview_learning_text","Select <b>three parts of the same kind</> to learn their blueprint:","Description of the learning mechanic."
"swordpartoverview_learning_button_dismantle","Dismantle parts to learn blueprint","Text of button in swordpart overview, to dismantle selected parts and learn the blueprint to reproduce them."
"mainmenu_cta_steam","Wishlist on
<emph>STEAM</>","Call to action for wishlisting the game on Steam, <emph></> for larger text"
"mainmenu_cta_wishlist","Add to
<emph>WISHLIST</>","Call to action for wishlisting the game, <emph></> for larger text"
"mainmenu_cta_discord","Join the official
<emph>DISCORD</>","Call to action for joining the games official discord server, <emph></> for larger text"
"forging_button_bladematerial_change","Change Blade Material...","Text of button that allows player to change the material the blade is made of."
"forging_caption_intensity","Intensity","The intensity with which a blade ability is applied, in percent. At 0%, it has no effect."
"forging_caption_polishlevel","Polish Level","Caption on a slider that controls the degree of polish/gloss on materials."
"creativemode_finalizesword_noscreenshots","You took 0 screenshots. Why not go back and take some now?","Hint shown if the player has taken no screenshots at all."
"creativemode_finalizesword_screenshots","You took {0} {0}|plural(one=screenshot,other=screenshots).","Hint shown if the player has taken at least one screenshot."
"creativemode_finalizesword_button_showscreenshots","View Screenshots","Caption of a button to view all screenshots (for now opening the folder in Windows Explorer)"
"creativemode_finalizesword_button_sharesword","Share Your Sword","CTA to share the sword/its screenshots on social media"
"creativemode_finalizesword_doneconfirmation","Are you done with this piece for now?
You can always come back and edit it later.","Ask the player if they have finished working on the piece for the moment and remind them that they can come back and continue at any time."
"prologue_title_haveended","“The Songs have fallen silent","Title at the start of the game, line 1: ""The Songs have fallen silent and world lies in ruin."""
"prologue_title_andtheworld","and the world lies in ruin.”","Title at the start of the game, line 2: ""The Songs have fallen silent and world lies in ruin."""
"commission_button_startforging","Start forging","Start to forge a blade for the shown commission."
"commission_button_accept","Accept","Button caption to accept a commission and start forging a sword."
"commission_button_continueforging","Forge","Forge/continue forging a work-in-progress blade for the shown commission."
"game_tooltip_continue","Continue playing Story Mode.","Tooltip for the Continue button in main menu"
"game_tooltip_newgame","Start a new game in Story Mode.","Tooltip for the New Game button in main menu"
"game_tooltip_loadgame","Load a Story Mode savegame.","Tooltip for the Load Game button in main menu"
"game_tooltip_creativemode","Start the Creative Mode. We strongly recommend playing the tutorial in Story Mode first!","Tooltip for the Creative Mode button in main menu"
"game_tutorialwarning_creativemode","We strongly recommend playing the tutorial in Story Mode first! Access the tutorial by choosing New Game in main menu.","Warning when entering Creative Mode without having played the tutorial."
"settingsmenu_title_language","Language","Language selection in settings menu"
"settingsmenu_title_resolution","Resolution","Resolution selection in graphic settings menu"
"settingsmenu_title_texturequality","Texture Quality","Texture Resolution selection in graphic settings menu"
"settingsmenu_title_antialiasing","Anti-Aliasing","Anti-Aliasing selection in graphic settings menu"
"settingsmenu_title_blademesh","Blade Quality","Blademesh quality selection in graphic settings menu"
"settingsmenu_title_vsync","V-Sync","Option for vertical synchronization in graphics settings menu"
"settingsmenu_title_raytracing","Raytracing","Option for raytracing rendering in graphics settings menu"
"settingsmenu_title_fpslimit","FPS Limit","Setting to limit the game's frames-per-second."
"settingsmenu_title_fpslimit_withnumber","FPS Limit ({0})","Setting to limit the game's frames-per-second. The current maximum FPS number will be inserted for {0}."
"settingsmenu_gender_title","Gender","Caption for setting: player character’s gender"
"settingsmenu_gender_option_male","Male","The player chooses to be addressed as male."
"settingsmenu_gender_option_female","Female","The player chooses to be addressed as female."
"settingsmenu_gender_option_neutral","Neutral","The player chooses to be addressed in a gender-neutral way."
"settingsmenu_bladecontrols_title","Blade Controls","Caption for setting: the player's preferred input method for editing sword blades"
"settingsmenu_creativemodeonly","(Creative Mode only)","Addendum to setting captions, for settings that are only available in Creative Mode"
"settingsmenu_bladecontrols_option_hammering","Hammer","The player prefers to hammer on the blade to edit it."
"settingsmenu_bladecontrols_option_sliders","Sliders","The player prefers slider-based, editor-like drag controls."
"settingsmenu_hammeringui_option","Display hammer timing interface","A player preference to display an addition interface widget that helps timing your clicks for heavy hammer hits."
"forging_gameplayhint_cameracontrols_pan","Pan","Camera controls onscreen hints"
"forging_gameplayhint_cameracontrols_orbit","Orbit","Camera controls onscreen hints"
"forging_gameplayhint_cameracontrols_zoom","Zoom","Camera controls onscreen hints"
"forging_gameplayhint_scale","Scale","Description of controls for scaling a part."
"forging_gameplayhint_rotate","Rotate","Description of controls for rotating a part around its primary axis."
"forging_gameplayhint_flip","Mirror","Description of controls for flipping a part."
"forging_gameplayhint_finecontrol","Fine Control","Onscreen hint that shows the shortcut to finer/slower control movement and abilities."
"forging_gameplayhint_constrain","Constrain","Onscreen hint that shows the shortcut to constrain abilities like bending parts."
"forging_gameplayhint_deflection","Deflect Part","Description of controls for changing the orientation of a part from it's default ""forward"" orientation."
"forging_gameplayhint_bending","Bend/Stretch Part","Description of controls for bending/curving a part."
"forging_gameplayhint_stretching","Stretch Part","Description of controls for deforming (stretching and possibly bending) a part."
"forging_gameplayhint_sinking","Sink","Description of controls for sinking/sticking one part into another, e.g. to close visual gaps."
"forging_caption_filter","Search...","Text in an editable text box, hinting at its functionality (allowing you to search for/filter sword parts). Displayed when the search text is empty."
"forging_caption_bladematerial","Blade Material","Button to change the bladematerial"
"forging_button_recentercamera","Recenter Camera","Button to recenter the camera view ob the blade"
"forging_button_toggle_lighting","Toggle Lighting","Button to switch bewtween lighting scenes in the games environment"
"forging_physicalproperties_title","Physical Properties","Title of the physical properties window, that shows details of the blade, e.g. mass and length."
"forging_physicalproperties_tooltip","This display can be a helpful means of investigating the physical properties of the sword as you work.","Tooltip of the Physical Properties window, describing what it does."
"swordpartcatalogue_empty_vendors","Visit vendors to buy some.","Hint in forge mode when the player has no parts in the inventory. Second line after ""You currently have no sword parts"", if vendors are available."
"swordpartcatalogue_empty_vendors_forging","Exit forging and pay a visit to today’s vendors.","Hint in forge mode when the player has no parts in the inventory. To get parts, players can visit one of the vendors."
"swordmaking_ability_changelength_title","Change Length","Title of lengthen ability"
"swordmaking_ability_changelength_description","Change the length of the blade.","Description for lengthen ability"
"swordmaking_ability_changethickness_title","Change Thickness","Title of thickness ability"
"swordmaking_ability_changethickness_description","Change the thickness of the blade.","Description for thickness ability"
"swordmaking_ability_changewidth_title","Change Width","Title of width ability (combines narrow and broaden)."
"swordmaking_ability_changewidth_description","Change the width of the blade.","Description for width ability"
"game_save_autosave","Autosave {0}","Autosave description"
"game_save_saving","Saving...","Hint that the game is currently autosaving"
"game_hint_overwrite","Attention: Your old savegame will be overwritten. Do you really want to start a new game?","Warning that starting a new game will delete previous savegames"
"game_save_savegame","Savegame {0}","Name of a saved game entry"
"game_save_savedgames","Saved Games","Title of the ""saved games"" menu"
"blendcurve_numbered","Blend Curve {0}","Numbered name for blend curves, a number will be inserted for {0}. Blend curves are used to blend in an ability on the blade to make beginning and end looking smoother."
"blendcurve_easeinout","Smooth","Name of the default smooth blending curve (S-shaped)."
"blendcurve_easein","Ease In","Name of a blend curve that begins slowly."
"blendcurve_easeout","Ease Out","Name of a blend curve that ends slowly."
"blendcurve_linear","Straight","Name of a straight/linear blend curve."
"blendcurve_circin","Circular In","Name of a blend curve that begins slowly (roughly circle-shaped)."
"blendcurve_circout","Circular Out","Name of a blend curve that ends slowly (roughly circle-shaped)."
"skilleffect_unlockability","Unlocks the ability: {0}","Effect of a skill in the skill tree. The ability's name is inserted for {0}."
"skilleffect_unlockability_distaltaper","Unlocks the ability: Taper Thickness","Effect of a skill in the skill tree. Unlocks the ability defined by key swordmaking_ability_distaltaper_title."
"skilleffect_advancedcrosssection","Unlocks additional cross-section options.","Effect of a skill in the skill tree. By default, the player can only make simple diamond/hexagonal cross-sections for their blade. With this, the players gets additional options for convex/convave grind."
"forging_hint_notenoughresources","Not enough resources!","Warning displayed when the player doesn't have enough resources for an action."
"forging_gameplayhint_hammer_flip","Reverse Hammering","A key hint for the playe to toggle the direction of the hammer (both flipping the visual hammer, and flipping the direction of the hammer's effect)."
"attribute_toughness","Toughness","A player character stat influencing narrative encounters, represents strength and intimidation."
"attribute_diplomacy","Diplomacy","A player character stat influencing narrative encounters, represents the ability to negotiate and convince people with reason."
"attribute_knowledge","Knowledge","A player character stat influencing narrative encounters, represents knowing a lot about the world and its history."
"attribute_finesse","Finesse","A player character stat influencing narrative encounters, represents both cunning in conversations and things like opening locks."
"attribute_check_success","Success","Displayed when a stat check in a narrative encounter was successful, e.g. ""Toughness: Success"""
"attribute_check_failure","Failure","Displayed when a stat check in a narrative encounter failed, e.g. ""Toughness: Failure"""
"commission_warning_actionpoints","Not enough <AP/> to start.","The player is missing Action Points to start a commission. <AP/> inserts an Action Point icon."
"commission_warning_steel","Not enough steel to start.","The player is missing steel to start a commission."
"commission_warning_swordpartbook","Missing sword part book: {0}","The player is missing a book containing sword parts required for a commission."
"commission_warning_pigment","Missing pigment: {0}","The player is missing a pigments/dyes required for a commission."
"commission_warning_skill","Missing skill: {0}","The player is missing an unlockable skill required for a commission."
"forging_hint_cannotoffer_nopoint","Your blade doesn’t have a point!","The blade is not suitable for stabbing, so the commission cannot be finished."
"forging_hint_cannotoffer_notsharp","Your blade is not sharp!","The blade is not sharp, so the commission cannot be finished."
"forging_hint_cannotoffer_noguard","Your sword has no guard!","The sword has no guard above the hand, so the commission cannot be finished."
"forging_hint_cannotoffer_unmetrequirements","Unmet requirements!","The commisions' requirements are not fulfilled, so the commission cannot be finished."
"forging_hint_cannotoffer_missingresource","Missing resource: {0}× {1}","0: Amount, 1: Resource name"
"campaignmode_caption_requirements","Requirements","Caption of the commision's requirements section"
"campaignmode_caption_rewards","Rewards","Caption of the commision's rewards section"
"campaignmode_caption_commissions","Today’s Commissions","Headline of the windows showing the commissions available today"
"reward_mystery","Mystery Reward","A reward displayed as question mark that yields a random item."
"commission_stylerequirement_book","Book: {0}","A commission requirement, where the customer asks for parts from a certain book. The name of the book is inserted for {0}."
"commission_stylerequirement_material","Material: {0}","A commission requirement, where the customer asks for a certain material. The name of the material is inserted for {0}."
"commission_stylerequirement_pigment","Pigment: {0}","A commission requirement, where the customer asks for a certain pigment. The name of the pigment is inserted for {0}. A pigment is a specific colour like ""Oxblood""."
"commission_stylerequirement_colour","Colour: {0}","A commission requirement, where the customer asks for a certain colour. The name of the colour is inserted for {0}. A colour is a generic term like ""Red"" which might encompass multiple pigments."
"vendor_trading_action_buy","Buy","Action displayed next to a key binding at a vendor."
"vendor_trading_action_sell","Sell","Action displayed next to a key binding at a vendor."
"vendor_trading_hint_bulkbuy","Hold [Shift] to buy/sell 10×","Hint displayed at a vendor."
"gameintro_hint_continue","Space to continue","Hint shown during the game's intro dialogue, telling the player to press the Space button to continue."
"background_mercenary","Mercenary","A narrative background. The player character used to be a sellsword."
"background_mercenary_description","This background grants +3 Toughness and may open unique dialogue choices.","Effect of choosing this background; please refer to attribute_toughness."
"background_leader","Leader","A narrative background. The player character used to be the leader of an outpost."
"background_leader_description","This background grants +3 Diplomacy and may open unique dialogue choices.","Effect of choosing this background; please refer to attribute_diplomacy"
"background_wanderer","Wanderer","A narrative background. The player character used to wander the wasteland."
"background_wanderer_description","This background grants +3 Knowledge and may open unique dialogue choices.","Effect of choosing this background; please refer to attribute_knowledge."
"background_slave","Slave","A narrative background. The player character used to be a slave to a warlord."
"background_slave_description","This background grants +3 Finesse and may open unique dialogue choices.","Effect of choosing this background; please refer to attribute_finesse."
"belief_ambition","Ambition","A priority the player can choose, for flavour only. ""Humanity can rise above the Voices if we learn their secrets."""
"belief_continuity","Continuity","A priority the player can choose, for flavour only. ""I believe in small things. Bread rising, seasons turning, children growing."""
"belief_freedom","Freedom","A priority the player can choose, for flavour only. ""We’re better off without the Voices. Humans can adapt to anything."""
"belief_compassion","Compassion","A priority the player can choose, for flavour only. ""Every small kindness is an act of defiance in a world without pity."""
"belief_nothing","Nothing","A priority the player can choose, for flavour only. ""Nothing matters any more. There’s peace in accepting that."""
"belief_description","Sets your starting maker’s mark. This can be changed later.","A hint telling the player that this choice will set a starting engraving representing the player's forge."
